,0,1,2,3,4,5,6,output
586,103,45,136,130,133,73,133,0
587,52,45,103,45,103,136,133,1
588,45,103,136,133,21,39,85,1
589,45,136,103,45,136,103,45,0
590,103,45,136,130,133,73,133,0
591,52,45,103,45,103,136,133,1
592,45,103,136,133,21,39,85,1
593,45,136,21,21,21,45,136,1
594,136,21,21,21,45,136,21,1
595,21,21,45,136,21,39,39,0
596,21,45,136,21,39,39,133,0
597,45,136,21,21,21,45,136,1
598,136,21,21,21,45,136,21,1
599,21,21,45,136,21,39,39,0
600,21,45,136,21,39,39,133,0
601,45,136,21,21,21,45,136,1
602,136,21,21,21,45,136,21,1
603,21,21,45,136,21,39,39,0
604,21,45,136,21,39,39,133,0
605,45,136,21,21,21,45,136,1
606,136,21,21,21,45,136,21,1
607,21,21,45,136,21,39,39,0
608,21,45,136,21,39,39,133,0
609,35,35,121,121,33,33,83,2
610,121,121,33,33,83,48,140,2
611,132,1,1,132,70,70,83,2
612,1,132,70,70,83,48,140,2
613,61,61,79,40,40,18,144,2
614,79,79,79,79,79,13,26,2
615,58,86,116,67,19,10,8,3
616,10,8,68,96,123,147,102,4
617,84,84,84,84,84,84,133,0
618,23,2,59,107,51,110,89,1
619,5,108,63,42,101,35,93,0
620,42,101,35,93,123,130,14,0
621,133,73,73,73,73,31,31,0
622,73,73,73,31,31,36,130,0
623,84,84,84,84,84,84,133,0
624,73,71,73,85,85,73,61,1
625,71,73,85,85,73,61,73,1
626,73,61,73,39,39,73,61,1
627,61,73,39,39,73,61,73,1
628,73,61,73,39,39,73,111,1
629,61,73,39,39,73,111,73,1
630,73,111,73,39,39,73,111,1
631,111,73,39,39,73,111,73,1
632,73,111,73,39,39,73,24,1
633,111,73,39,39,73,24,73,1
634,14,106,42,57,42,121,85,1
635,57,42,121,85,136,39,57,1
636,14,73,106,42,57,121,85,1
637,73,106,42,57,121,85,136,0
638,133,70,121,129,35,53,66,0
639,14,64,7,70,145,94,1,0
640,64,7,70,145,94,1,57,0
641,7,70,145,94,1,57,130,0
642,70,145,94,1,57,130,130,0
643,145,94,1,57,130,130,130,0
644,94,1,57,130,130,130,130,0
645,1,57,130,130,130,130,130,0
646,57,130,130,130,130,130,130,0
647,130,130,130,130,130,130,130,0
648,130,130,130,130,130,130,130,0
649,130,130,130,130,130,130,130,0
650,130,130,130,130,130,130,130,0
651,130,130,130,130,130,130,130,0
652,130,130,130,130,130,130,130,0
653,130,130,130,130,130,130,130,0
654,130,130,130,130,130,130,130,0
655,130,130,130,130,130,130,130,0
656,130,130,130,130,130,130,130,0
657,130,130,130,130,130,130,130,0
658,130,130,130,130,130,130,130,0
659,130,130,130,130,130,130,130,0
660,130,130,130,130,130,130,130,0
661,130,130,130,130,130,130,130,0
662,130,130,130,130,130,130,130,0
663,130,130,130,130,130,130,130,0
